Filename,Date Digitized ,QA complete,OCR complete,Bib ID,Call number,Prefix,Classification,Brief Title,Full Title,Repository
ksrl_sc_griffith_h69_0001,2015-04-14,2015-04-20,2015-05-01,7833774,Griffith H69,Griffith,H69,"8.{deg} sorteo de la deuda convertida, verificado en la fecha en cumplimiento de lo dispuesto en el art{acute}iculo 5.{deg} de la ley de 28 de Mayo de 1872...","8.{deg} sorteo de la deuda convertida, verificado en la fecha en cumplimiento de lo dispuesto en el art{acute}iculo 5.{deg} de la ley de 28 de Mayo de 1872...",Special Collections
ksrl_sc_griffith_h69_0002,2015-04-14,2015-04-20,2015-05-01,7833674,Griffith H69,Griffith,H69,"10.{deg} sorteo de la deuda convertida, verificado en la fecha en cumplimiento de lo dispuesto en el art{acute}iculo 5.{deg} de la ley de 28 de Mayo de 1872...","10.{deg} sorteo de la deuda convertida, verificado en la fecha en cumplimiento de lo dispuesto en el art{acute}iculo 5.{deg} de la ley de 28 de Mayo de 1872...",Special Collections
ksrl_sc_griffith_h80_0001,2015-04-18,2015-04-20,2015-05-01,7833782,Griffith H80,Griffith,H80,El eco libre de Flores /,El eco libre de Flores /$c[signed] J. Canuto Mazariegos... [et al.].,Special Collections
ksrl_sc_griffith_h88_0001,2015-04-18,2015-04-20,2015-05-01,5349359,Griffith H88,Griffith,H88,Siendo la publicidad un elemento de progreso...,Siendo la publicidad un elemento de progreso...,Special Collections
ksrl_sc_griffith_h89_0001,2015-04-29,2015-04-30,2015-05-01,5350100,Griffith H89,Griffith,H89,Iniquidades /,Iniquidades /$c[signed] Gertrudis de Orellana.,Special Collections
ksrl_sc_griffith_h91_0001,2015-04-18,2015-04-20,2015-05-01,5969183,Griffith H91,Griffith,H91,"""La Am{acute}erica Central"".","""La Am{acute}erica Central"".",Special Collections
ksrl_sc_griffith_h95_0001,2015-04-18,2015-04-20,2015-05-01,7833791,Griffith H95,Griffith,H95,"Se{tilde}nor presidente constitutional de la rep{acute}ublica, jefe supremo del ej{acute}ercito, licenciado don Manuel Estrada Cabrera /","Se{tilde}nor presidente constitutional de la rep{acute}ublica, jefe supremo del ej{acute}ercito, licenciado don Manuel Estrada Cabrera /$c[signed] Luis Molina... [et al.].",Special Collections
ksrl_sc_griffith_h99_0001||ksrl_sc_griffith_h99_0002,2015-04-18,2015-04-20,2015-05-01,6023708,Griffith H99,Griffith,H99,"Manifestaci{acute}on del pueblo de la democracia, departamento de Escuintla, dirigida al se{tilde}nor presidente constitucional de la rep{acute}ublica doctor don Manuel Estrada Cabrera con motivo del inopinado ataque que en el p{acute}ulpito hizo contra el supremo gobierno, el Sr. Pi{tilde}nol obispo de Faselli /","Manifestaci{acute}on del pueblo de la democracia, departamento de Escuintla, dirigida al se{tilde}nor presidente constitucional de la rep{acute}ublica doctor don Manuel Estrada Cabrera con motivo del inopinado ataque que en el p{acute}ulpito hizo contra el supremo gobierno, el Sr. Pi{tilde}nol obispo de Faselli /$c[signed] Guillermo Robles... [et al.].",Special Collections
ksrl_sc_griffith_h100_0001,2015-04-18,2015-04-20,2015-05-01,7846988,Griffith H100,Griffith,H100,"Manifestaci{acute}on del Club ""El Incondicional"" /","Manifestaci{acute}on del Club ""El Incondicional"" /$c[signed] Santos Monz{acute}on... [et al.]",Special Collections
ksrl_sc_griffith_h102_0001,2015-04-21,2015-04-22,2015-05-01,7848123,Griffith H102,Griffith,H102,"""15 de marzo"" /","""15 de marzo"" /$c[signed] Francisco Corzantes... [et al].",Special Collections
ksrl_sc_griffith_h103_0001,2015-04-21,2015-04-22,2015-05-01,7848124,Griffith H103,Griffith,H103,Convocatoria {acute}a elecciones presidenciales /,"Convocatoria {acute}a elecciones presidenciales /$cClub Central ""2 de Octubre"" ; [signed] Miguel Larrave... [et al.].",Special Collections
ksrl_sc_griffith_h104_0001,2015-04-21,2015-04-22,2015-05-01,7848125,Griffith H104,Griffith,H104,El pensamiento de Barrios se realiza /,El pensamiento de Barrios se realiza /$c[signed] Pedro Villatoro... [et al.].,Special Collections
ksrl_sc_griffith_h105_0001,2015-04-21,2015-04-22,2015-05-01,7848126,Griffith H105,Griffith,H105,"Proclama del Club Liberal ""El Reeleccionista"" de Santa Anita /","Proclama del Club Liberal ""El Reeleccionista"" de Santa Anita /$c[signed] Urbano Sagastume... [et al.].",Special Collections
ksrl_sc_griffith_h106_0001,2015-04-21,2015-04-22,2015-05-01,7848127,Griffith H106,Griffith,H106,"Manifestaci{acute}on dirigida al benem{acute}erito de la patria y presidente constitucional de la rep{acute}ublica, licenciado don Manuel Estrada Cabrera por los empleados de la Direcci{acute}on General de Tel{acute}egrafos y Tel{acute}efonos Nacionales /","Manifestaci{acute}on dirigida al benem{acute}erito de la patria y presidente constitucional de la rep{acute}ublica, licenciado don Manuel Estrada Cabrera por los empleados de la Direcci{acute}on General de Tel{acute}egrafos y Tel{acute}efonos Nacionales /$c[signed] Manuel C. Mir{acute}on... [et al.].",Special Collections
ksrl_sc_griffith_h107_0001,2015-04-21,2015-04-22,2015-05-01,7848128,Griffith H107,Griffith,H107,"Se{tilde}nor presidente constitucional de la rep{acute}ublica, benem{acute}erito de la patria y jefe del partido liberal, Lic. don Manuel Estrada Cabrera /","Se{tilde}nor presidente constitucional de la rep{acute}ublica, benem{acute}erito de la patria y jefe del partido liberal, Lic. don Manuel Estrada Cabrera /$c[signed] Miguel Larrave... [et al.].",Special Collections
ksrl_sc_griffith_h108_0001,2015-04-21,2015-04-22,2015-05-01,7848129,Griffith H108,Griffith,H108,A nuestros conciudadanos /,A nuestros conciudadanos /$c[signed] Raymundo Barillas... [et al.].,Special Collections
ksrl_sc_griffith_h109_0001,2015-04-21,2015-04-22,2015-05-01,7848130,Griffith H109,Griffith,H109,"""La Juventud Liberal"" al licenciado Estrada Cabrera /","""La Juventud Liberal"" al licenciado Estrada Cabrera /$c[signed] Salvador Gir{acute}on... [et al].",Special Collections
ksrl_sc_griffith_h110_0001,2015-04-21,2015-04-22,2015-05-01,7848131,Griffith H110,Griffith,H110,"Se{tilde}nor presidente constitucional de la rep{acute}ublica, benem{acute}erito de la patria, Lic. don Manuel Estrada Cabrera /","Se{tilde}nor presidente constitucional de la rep{acute}ublica, benem{acute}erito de la patria, Lic. don Manuel Estrada Cabrera /$c[signed] Flavio Ovalle... [et al.].",Special Collections
ksrl_sc_griffith_h111_0001,2015-04-21,2015-04-22,2015-05-01,5554094,Griffith H111,Griffith,H111,"Felicitaci{acute}on al se{tilde}nor presidente constitucional de la rep{acute}ublica, benem{acute}erito de la patria, licenciado don Manuel Estrada Cabrera /","Felicitaci{acute}on al se{tilde}nor presidente constitucional de la rep{acute}ublica, benem{acute}erito de la patria, licenciado don Manuel Estrada Cabrera /$c[signed] Felipe S. Pereira... [et al.].",Special Collections
ksrl_sc_griffith_h113_0001,2015-04-21,2015-04-22,2015-05-01,7848214,Griffith H113,Griffith,H113,"Se{tilde}nor presidente constitucional de la rep{acute}ublica, benem{acute}erito de la patria, Lic. don Manuel Estrada Cabrera /","Se{tilde}nor presidente constitucional de la rep{acute}ublica, benem{acute}erito de la patria, Lic. don Manuel Estrada Cabrera /$c[signed] Rafael Yaqui{acute}an... [et al.].",Special Collections
ksrl_sc_griffith_h114_0001,2015-04-21,2015-04-22,2015-05-01,7848215,Griffith H114,Griffith,H114,"Manuel Estrada Cabrera, presidente constitucional de la rep{acute}ublica de Guatemala, a sus conciudadanos...","Manuel Estrada Cabrera, presidente constitucional de la rep{acute}ublica de Guatemala, a sus conciudadanos...",Special Collections
ksrl_sc_griffith_h116_0001,2015-04-21,2015-04-22,2015-05-01,7848217,Griffith H116,Griffith,H116,"El presidente constitucional de la rep{acute}ublica, a sus conciudadanos /","El presidente constitucional de la rep{acute}ublica, a sus conciudadanos /$c[signed] Manuel Estrada Cabrera.",Special Collections
ksrl_sc_griffith_h118_0001,2015-04-21,2015-04-22,2015-05-01,7848219,Griffith H118,Griffith,H118,Las glorias se alcanzan con los grandes hechos?,"Las glorias se alcanzan con los grandes hechos?$bbolet{acute}in no. 5 /$c{acute}organo del Club ""Uni{acute}on Liberal Cabrerista"" de San Antonio Suchitep{acute}equez.",Special Collections
ksrl_sc_griffith_h119_0001,2015-04-21,2015-04-22,2015-05-01,7848220,Griffith H119,Griffith,H119,Nobles y leales pueblos de la Alta Verapaz /,Nobles y leales pueblos de la Alta Verapaz /$c[signed] Mariano Ponce C.... [et al.].,Special Collections
ksrl_sc_griffith_h120_0001,2015-04-21,2015-04-22,2015-05-01,7848221,Griffith H120,Griffith,H120,"Jos{acute}e Francisco Quezada, jefe pol{acute}itico de este departamento. Por cuanto.... /","Jos{acute}e Francisco Quezada, jefe pol{acute}itico de este departamento. Por cuanto.... /$c[signed] Jos{acute}e F. Quezada.",Special Collections
ksrl_sc_griffith_h121_0001,2015-04-21,2015-04-22,2015-05-01,7848222,Griffith H121,Griffith,H121,"Nos los inquisidores apostolicos, contra la heretica pravedad, y apostas{acute}ia, en la ciudad de M{acute}exico, estados, y provincias de esta Nueva Espa{tilde}na, Guatemala, Nicaragua, Islas Filipinas, sus distritos, y jurisdicciones, por autoridad aposolica, real, y ordinaria, &c.","Nos los inquisidores apostolicos, contra la heretica pravedad, y apostas{acute}ia, en la ciudad de M{acute}exico, estados, y provincias de esta Nueva Espa{tilde}na, Guatemala, Nicaragua, Islas Filipinas, sus distritos, y jurisdicciones, por autoridad aposolica, real, y ordinaria, &c.$bA todas, y qualesquiera personas ...",Special Collections
ksrl_sc_griffith_h125_0001,2015-04-21,2015-04-22,2015-05-01,5349651,Griffith H125,Griffith,H125,"La municipalidad y vecinos de Salam{acute}a, al benem{acute}erito de la patria y jefe del partido liberal, Lic. Manuel Estrada Cabrera... /","La municipalidad y vecinos de Salam{acute}a, al benem{acute}erito de la patria y jefe del partido liberal, Lic. Manuel Estrada Cabrera... /$c[signed] Daniel Coronado... [et al.].",Special Collections
ksrl_sc_griffith_h127_0001,2015-04-21,2015-04-22,2015-05-01,7879018,Griffith H127,Griffith,H127,"Manifestaci{acute}on del pueblo de Santa Lucia Utatl{acute}an, al se{tilde}nor licenciado don Manuel Estrada Cabrera, presidente constitucional de la rep{acute}ublica /","Manifestaci{acute}on del pueblo de Santa Lucia Utatl{acute}an, al se{tilde}nor licenciado don Manuel Estrada Cabrera, presidente constitucional de la rep{acute}ublica /$c[signed] Pedro de Le{acute}on Regil... [et al.].",Special Collections
ksrl_sc_griffith_h128_0001,2015-04-21,2015-04-22,2015-05-01,7879019,Griffith H128,Griffith,H128,"Se{tilde}nor presidente constitucional de la rep{acute}ublica, benem{acute}erito de la patria y jefe del partido liberal /","Se{tilde}nor presidente constitucional de la rep{acute}ublica, benem{acute}erito de la patria y jefe del partido liberal /$c[signed] Jos{acute}e S{acute}anchez... [et al.].",Special Collections
ksrl_sc_griffith_h129_0001,2015-04-21,2015-04-22,2015-05-01,7879020,Griffith H129,Griffith,H129,Estrofas al gremio obrero de Guatemala con motivo de las fiestas de Minerva de 1916 /,Estrofas al gremio obrero de Guatemala con motivo de las fiestas de Minerva de 1916 /$c[signed] Carmen Villafa{tilde}ne de Castro.,Special Collections
ksrl_sc_griffith_h131_0001,2015-04-21,2015-04-22,2015-05-01,7879022,Griffith H131,Griffith,H131,Se{tilde}nor jefe pol{acute}itico del departamento de--.,Se{tilde}nor jefe pol{acute}itico del departamento de--.,Special Collections
